IRF,NFkB,IFNb,p50,Stimulus,Genotype,Dataset
0.25,1.0,0.6,1,LPS,WT,original
0.25,1.0,0.6,0,LPS,p50KO,original
0.01,0.8,0.0,1,CpG,WT,original
0.01,0.8,0.3,0,CpG,p50KO,original
0.25,0.0,0.2,1,LPS,relacrelKO,original
0.01,1.0,0.0,1,LPS,irf3irf7KO,original
1.0,0.5,1.0,1,polyIC,WT,original
1.0,0.0,1.0,1,polyIC,relacrelKO,original
0.1,0.5,0.2,1,polyIC,irf3irf7KO,original
0.0,0.5,0.0,1,polyIC,irf3irf5irf7KO,original
0.234,1.0,0.6,1,LPS,WT,synthetic_0
0.247,1.0,0.6,0,LPS,p50KO,synthetic_0
0.009,0.74,0.0,1,CpG,WT,synthetic_0
0.01,0.822,0.3,0,CpG,p50KO,synthetic_0
0.186,0.0,0.2,1,LPS,relacrelKO,synthetic_0
0.009,1.0,0.0,1,LPS,irf3irf7KO,synthetic_0
0.987,0.455,1.0,1,polyIC,WT,synthetic_0
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_0
0.113,0.405,0.2,1,polyIC,irf3irf7KO,synthetic_0
0.0,0.484,0.0,1,polyIC,irf3irf5irf7KO,synthetic_0
0.249,1.0,0.6,1,LPS,WT,synthetic_1
0.247,0.883,0.6,0,LPS,p50KO,synthetic_1
0.011,0.69,0.0,1,CpG,WT,synthetic_1
0.012,0.734,0.3,0,CpG,p50KO,synthetic_1
0.263,0.0,0.2,1,LPS,relacrelKO,synthetic_1
0.011,1.0,0.0,1,LPS,irf3irf7KO,synthetic_1
0.983,0.437,1.0,1,polyIC,WT,synthetic_1
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_1
0.096,0.389,0.2,1,polyIC,irf3irf7KO,synthetic_1
0.0,0.458,0.0,1,polyIC,irf3irf5irf7KO,synthetic_1
0.284,1.0,0.6,1,LPS,WT,synthetic_2
0.257,0.65,0.6,0,LPS,p50KO,synthetic_2
0.01,0.841,0.0,1,CpG,WT,synthetic_2
0.011,0.767,0.3,0,CpG,p50KO,synthetic_2
0.222,0.0,0.2,1,LPS,relacrelKO,synthetic_2
0.011,1.0,0.0,1,LPS,irf3irf7KO,synthetic_2
0.526,0.599,1.0,1,polyIC,WT,synthetic_2
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_2
0.09,0.348,0.2,1,polyIC,irf3irf7KO,synthetic_2
0.0,0.466,0.0,1,polyIC,irf3irf5irf7KO,synthetic_2
0.248,1.0,0.6,1,LPS,WT,synthetic_3
0.209,0.833,0.6,0,LPS,p50KO,synthetic_3
0.011,0.996,0.0,1,CpG,WT,synthetic_3
0.011,0.69,0.3,0,CpG,p50KO,synthetic_3
0.253,0.0,0.2,1,LPS,relacrelKO,synthetic_3
0.008,1.0,0.0,1,LPS,irf3irf7KO,synthetic_3
0.899,0.554,1.0,1,polyIC,WT,synthetic_3
0.911,0.0,1.0,1,polyIC,relacrelKO,synthetic_3
0.099,0.451,0.2,1,polyIC,irf3irf7KO,synthetic_3
0.0,0.579,0.0,1,polyIC,irf3irf5irf7KO,synthetic_3
0.238,1.0,0.6,1,LPS,WT,synthetic_4
0.231,0.781,0.6,0,LPS,p50KO,synthetic_4
0.013,0.91,0.0,1,CpG,WT,synthetic_4
0.013,0.622,0.3,0,CpG,p50KO,synthetic_4
0.256,0.0,0.2,1,LPS,relacrelKO,synthetic_4
0.008,0.862,0.0,1,LPS,irf3irf7KO,synthetic_4
1.0,0.442,1.0,1,polyIC,WT,synthetic_4
1.0,0.0,1.0,1,polyIC,relacrelKO,synthetic_4
0.086,0.463,0.2,1,polyIC,irf3irf7KO,synthetic_4
0.0,0.475,0.0,1,polyIC,irf3irf5irf7KO,synthetic_4
0.23,1.0,0.6,1,LPS,WT,synthetic_5
0.285,1.0,0.6,0,LPS,p50KO,synthetic_5
0.012,0.874,0.0,1,CpG,WT,synthetic_5
0.01,0.819,0.3,0,CpG,p50KO,synthetic_5
0.191,0.0,0.2,1,LPS,relacrelKO,synthetic_5
0.011,1.0,0.0,1,LPS,irf3irf7KO,synthetic_5
0.925,0.415,1.0,1,polyIC,WT,synthetic_5
0.976,0.0,1.0,1,polyIC,relacrelKO,synthetic_5
0.098,0.496,0.2,1,polyIC,irf3irf7KO,synthetic_5
0.0,0.598,0.0,1,polyIC,irf3irf5irf7KO,synthetic_5
0.278,0.91,0.6,1,LPS,WT,synthetic_6
